================================================================================
Exp 181 DYNAMICS AUDIT — DIAGNOSTIC ONLY
Deterministic Phase-W rerun with per-step instrumentation
Verdict unchanged: NEGATIVE (no-resistance)
================================================================================

TABLE 1: Identity dynamics per arm/seed/burst
  gap_start = v_fav - v_burst_color at burst onset snapshot
  gap_end   = v_fav - v_burst_color at burst end snapshot
  D_b       = pi_end[burst_color] - pi_start[burst_color]  (directed drift)
  TV_b      = 0.5 * sum|pi_end - pi_start|  (whole-vector movement)

       arm  seed  bi   f   c  gap_start    gap_end        D_b       TV_b
------------------------------------------------------------------------
     c0.05   215   1   2   0    12.7549   -24.2478     0.0748     0.0748
     c0.05   215   2   0   2    18.8315   -18.0113     0.1062     0.1062
     c0.05   216   0   2   1    27.4741   -12.3234     0.0416     0.0416
     c0.05   216   1   2   0    10.4707   -26.0128     0.0743     0.0743
     c0.05   216   2   0   2    17.4881   -19.0270     0.1052     0.1052
     c0.05   217   0   2   1    29.5829   -10.6687     0.0417     0.0417
     c0.05   217   1   1   0    11.3492   -25.2877     0.0736     0.0736
     c0.05   217   2   0   2    16.4843   -19.8178     0.1044     0.1044
     c0.02   210   0   2   1    22.3448     3.9766     0.0193     0.0193
     c0.02   210   1   2   0     8.2051    -7.2429     0.0400     0.0400
     c0.02   210   2   0   1     6.7222    -8.3085     0.0720     0.0720
     c0.02   211   0   2   1    20.7364     2.7060     0.0193     0.0193
     c0.02   211   1   2   0     3.0876   -11.2934     0.0396     0.0396
     c0.02   211   2   0   1     6.8117    -8.2760     0.0719     0.0719
     c0.02   212   0   2   1    22.5651     4.1434     0.0193     0.0193
     c0.02   212   1   2   0     4.0708   -10.5144     0.0398     0.0398
     c0.02   212   2   0   1     6.9571    -8.1520     0.0723     0.0723
     c0.02   213   0   2   1    21.9333     3.6519     0.0193     0.0193
     c0.02   213   1   2   0     5.1107    -9.6817     0.0398     0.0398
     c0.02   213   2   0   1     6.5819    -8.4550     0.0721     0.0721
     c0.02   214   0   2   1    21.5204     3.3362     0.0192     0.0192
     c0.02   214   1   2   0     5.8718    -9.0688     0.0398     0.0398
     c0.02   214   2   0   1     6.7068    -8.3413     0.0715     0.0715
     c0.02   215   0   2   1    23.9028     5.2225     0.0193     0.0193
     c0.02   215   1   2   0     6.8383    -8.3333     0.0400     0.0400
     c0.02   215   2   0   1     7.3103    -7.8670     0.0717     0.0717
     c0.02   216   0   2   1    22.8781     4.4221     0.0193     0.0193
     c0.02   216   1   2   0     5.9246    -9.0393     0.0398     0.0398
     c0.02   216   2   0   1     6.8270    -8.2294     0.0713     0.0713
     c0.02   217   0   2   1    23.7216     5.0840     0.0193     0.0193
     c0.02   217   1   2   0     3.7088   -10.7837     0.0396     0.0396
     c0.02   217   2   0   1     7.2385    -7.9055     0.0716     0.0716
     c0.01   210   0   2   1    21.0795     9.7812     0.0102     0.0102
     c0.01   210   1   2   1     7.2606    -1.0955     0.0226     0.0226
     c0.01   210   2   1   0     2.6504    -4.7757     0.0463     0.0463
     c0.01   211   0   2   1    20.2753     9.1459     0.0102     0.0102
     c0.01   211   1   2   1     4.9729    -2.8945     0.0225     0.0225
     c0.01   211   2   1   0     2.6371    -4.7771     0.0461     0.0461
     c0.01   212   0   2   1    21.1896     9.8646     0.0102     0.0102
     c0.01   212   1   2   1     5.2521    -2.6721     0.0225     0.0225
     c0.01   212   2   1   0     2.5446    -4.8479     0.0462     0.0462
     c0.01   213   0   2   1    20.8737     9.6188     0.0102     0.0102
     c0.01   213   1   2   1     5.8089    -2.2417     0.0226     0.0226
     c0.01   213   2   1   0     2.7194    -4.7073     0.0462     0.0462
     c0.01   214   0   2   1    20.6673     9.4610     0.0102     0.0102
     c0.01   214   1   2   1     6.4394    -1.7321     0.0226     0.0226
     c0.01   214   2   1   0     2.6769    -4.7474     0.0460     0.0460
     c0.01   215   0   2   1    21.8585    10.4042     0.0102     0.0102
     c0.01   215   1   2   1     6.6790    -1.5520     0.0226     0.0226
     c0.01   215   2   1   0     2.3800    -4.9811     0.0459     0.0459
     c0.01   216   0   2   1    21.3461    10.0040     0.0102     0.0102
     c0.01   216   1   2   1     6.4817    -1.7092     0.0226     0.0226
     c0.01   216   2   1   0     2.6081    -4.8107     0.0460     0.0460
     c0.01   217   0   2   1    21.7679    10.3349     0.0102     0.0102
     c0.01   217   1   2   1     5.1602    -2.7522     0.0225     0.0225
     c0.01   217   2   1   0     2.4222    -4.9567     0.0460     0.0460

TABLE 2: Leak quantities per arm/seed/burst
  L_raw  = sum g_tau*w_tau * 1[obs==burst_color]  over burst
  L_disc = sum LAMBDA^(bend-1-tau) * g_tau*w_tau * 1[obs==burst_color]
  ratio  = L_raw(arm) / L_raw(baseline) for same seed/burst

       arm  seed  bi        L_raw       L_disc     bl_L_raw    ratio
--------------------------------------------------------------------
  baseline   210   0     764.7363     679.9907     764.7363   1.0000
  baseline   210   1     770.0921     684.8486     770.0921   1.0000
  baseline   210   2     737.3371     655.7260     737.3371   1.0000
  baseline   211   0     765.0252     680.2623     765.0252   1.0000
  baseline   211   1     771.6143     686.1067     771.6143   1.0000
  baseline   211   2     737.8038     656.1408     737.8038   1.0000
  baseline   212   0     765.0991     680.3121     765.0991   1.0000
  baseline   212   1     771.2992     685.8267     771.2992   1.0000
  baseline   212   2     737.6259     655.9827     737.6259   1.0000
  baseline   213   0     764.7597     680.0406     764.7597   1.0000
  baseline   213   1     770.3629     685.0893     770.3629   1.0000
  baseline   213   2     737.9989     656.3142     737.9989   1.0000
  baseline   214   0     764.1757     679.5889     764.1757   1.0000
  baseline   214   1     770.3667     685.0926     770.3667   1.0000
  baseline   214   2     738.3817     656.5627     738.3817   1.0000
  baseline   215   0     764.2573     679.6614     764.2573   1.0000
  baseline   215   1     771.0435     685.6165     771.0435   1.0000
  baseline   215   2     738.2935     656.4833     738.2935   1.0000
  baseline   216   0     763.9343     679.3744     763.9343   1.0000
  baseline   216   1     770.2400     684.9801     770.2400   1.0000
  baseline   216   2     738.0224     656.3351     738.0224   1.0000
  baseline   217   0     764.0501     679.4772     764.0501   1.0000
  baseline   217   1     770.3210     685.0521     770.3210   1.0000
  baseline   217   2     738.1255     656.4267     738.1255   1.0000
        n4   210   0     375.2954     338.4398     764.7363   0.4908
        n4   210   1     433.2826     386.6044     770.0921   0.5626
        n4   210   2     469.7604     419.9758     737.3371   0.6371
        n4   211   0     435.2700     390.7096     765.0252   0.5690
        n4   211   1     462.9998     413.3202     771.6143   0.6000
        n4   211   2     498.1925     445.6965     737.8038   0.6752
        n4   212   0     389.9736     348.0512     765.0991   0.5097
        n4   212   1     436.0626     387.6442     771.2992   0.5654
        n4   212   2     486.2972     431.9728     737.6259   0.6593
        n4   213   0     349.5603     307.9435     764.7597   0.4571
        n4   213   1     413.4469     366.7141     770.3629   0.5367
        n4   213   2     452.2509     404.7427     737.9989   0.6128
        n4   214   0     322.3909     288.8979     764.1757   0.4219
        n4   214   1     404.4771     364.1806     770.3667   0.5250
        n4   214   2     398.5333     355.4359     738.3817   0.5397
        n4   215   0     256.1941     233.2954     764.2573   0.3352
        n4   215   1     398.1272     352.5514     771.0435   0.5163
        n4   215   2     364.3102     323.5983     738.2935   0.4934
        n4   216   0     364.1004     321.2429     763.9343   0.4766
        n4   216   1     480.3975     426.0182     770.2400   0.6237
        n4   216   2     400.4135     357.9975     738.0224   0.5425
        n4   217   0     385.7706     348.0680     764.0501   0.5049
        n4   217   1     477.3200     426.9953     770.3210   0.6196
        n4   217   2     447.6116     402.4766     738.1255   0.6064
      c0.3   210   0     229.4209     203.9972     764.7363   0.3000
      c0.3   210   1     231.0276     205.4546     770.0921   0.3000
      c0.3   210   2     221.2011     196.7178     737.3371   0.3000
      c0.3   211   0     229.5076     204.0787     765.0252   0.3000
      c0.3   211   1     231.4843     205.8320     771.6143   0.3000
      c0.3   211   2     221.3411     196.8422     737.8038   0.3000
      c0.3   212   0     229.5297     204.0936     765.0991   0.3000
      c0.3   212   1     231.3897     205.7480     771.2992   0.3000
      c0.3   212   2     221.2878     196.7948     737.6259   0.3000
      c0.3   213   0     229.4279     204.0122     764.7597   0.3000
      c0.3   213   1     231.1089     205.5268     770.3629   0.3000
      c0.3   213   2     221.3997     196.8943     737.9989   0.3000
      c0.3   214   0     229.2527     203.8767     764.1757   0.3000
      c0.3   214   1     231.1100     205.5278     770.3667   0.3000
      c0.3   214   2     221.5145     196.9688     738.3817   0.3000
      c0.3   215   0     229.2772     203.8984     764.2573   0.3000
      c0.3   215   1     231.3131     205.6850     771.0435   0.3000
      c0.3   215   2     221.4881     196.9450     738.2935   0.3000
      c0.3   216   0     229.1803     203.8123     763.9343   0.3000
      c0.3   216   1     231.0720     205.4940     770.2400   0.3000
      c0.3   216   2     221.4067     196.9005     738.0224   0.3000
      c0.3   217   0     229.2150     203.8432     764.0501   0.3000
      c0.3   217   1     231.0963     205.5156     770.3210   0.3000
      c0.3   217   2     221.4376     196.9280     738.1255   0.3000
      c0.1   210   0      76.4736      67.9991     764.7363   0.1000
      c0.1   210   1      77.0092      68.4849     770.0921   0.1000
      c0.1   210   2      76.5252      68.0545     737.3371   0.1038
      c0.1   211   0      76.5025      68.0262     765.0252   0.1000
      c0.1   211   1      77.1614      68.6107     771.6143   0.1000
      c0.1   211   2      73.7804      65.6141     737.8038   0.1000
      c0.1   212   0      76.5099      68.0312     765.0991   0.1000
      c0.1   212   1      77.1299      68.5827     771.2992   0.1000
      c0.1   212   2      76.6090      68.1222     737.6259   0.1039
      c0.1   213   0      76.4760      68.0041     764.7597   0.1000
      c0.1   213   1      77.0363      68.5089     770.3629   0.1000
      c0.1   213   2      73.7999      65.6314     737.9989   0.1000
      c0.1   214   0      76.4176      67.9589     764.1757   0.1000
      c0.1   214   1      77.0367      68.5093     770.3667   0.1000
      c0.1   214   2      73.8382      65.6563     738.3817   0.1000
      c0.1   215   0      76.4257      67.9661     764.2573   0.1000
      c0.1   215   1      77.1044      68.5617     771.0435   0.1000
      c0.1   215   2      73.8294      65.6483     738.2935   0.1000
      c0.1   216   0      76.3934      67.9374     763.9343   0.1000
      c0.1   216   1      77.0240      68.4980     770.2400   0.1000
      c0.1   216   2      73.8022      65.6335     738.0224   0.1000
      c0.1   217   0      76.4050      67.9477     764.0501   0.1000
      c0.1   217   1      77.0321      68.5052     770.3210   0.1000
      c0.1   217   2      73.8125      65.6427     738.1255   0.1000
     c0.05   210   0      38.2368      33.9995     764.7363   0.0500
     c0.05   210   1      38.5046      34.2424     770.0921   0.0500
     c0.05   210   2      38.2626      34.0273     737.3371   0.0519
     c0.05   211   0      38.2513      34.0131     765.0252   0.0500
     c0.05   211   1      38.5807      34.3053     771.6143   0.0500
     c0.05   211   2      38.3323      34.0851     737.8038   0.0520
     c0.05   212   0      38.2550      34.0156     765.0991   0.0500
     c0.05   212   1      38.5650      34.2913     771.2992   0.0500
     c0.05   212   2      38.3045      34.0611     737.6259   0.0519
     c0.05   213   0      38.2380      34.0020     764.7597   0.0500
     c0.05   213   1      38.5181      34.2545     770.3629   0.0500
     c0.05   213   2      36.8999      32.8157     737.9989   0.0500
     c0.05   214   0      38.2088      33.9794     764.1757   0.0500
     c0.05   214   1      38.5183      34.2546     770.3667   0.0500
     c0.05   214   2      36.9191      32.8281     738.3817   0.0500
     c0.05   215   0      38.2129      33.9831     764.2573   0.0500
     c0.05   215   1      38.5522      34.2808     771.0435   0.0500
     c0.05   215   2      36.9147      32.8242     738.2935   0.0500
     c0.05   216   0      38.1967      33.9687     763.9343   0.0500
     c0.05   216   1      38.5120      34.2490     770.2400   0.0500
     c0.05   216   2      36.9011      32.8168     738.0224   0.0500
     c0.05   217   0      38.2025      33.9739     764.0501   0.0500
     c0.05   217   1      38.5161      34.2526     770.3210   0.0500
